fecha,precipitaciones,temperatura,humedad,consumo,evento
2021-07-03,0.0,33.5,24,900.87,
2021-07-04,0.0,33.0,33,864.29,
2021-07-05,0.0,35.3,33,848.55,
2021-07-06,,29.9,46,743.33,
2021-07-07,0.0,29.5,31,766.26,
2021-07-08,0.0,32.4,25,925.44,
2021-07-09,0.0,35.6,38,872.81,
2021-07-10,0.0,39.5,29,831.24,
2021-07-11,0.0,40.6,23,929.04,
2021-07-12,0.0,29.9,26,795.23,
2021-07-13,0.0,29.9,26,818.08,
2021-07-14,0.0,31.3,27,918.85,
2021-07-15,0.0,34.1,35,839.67,
2021-07-16,0.0,36.9,32,911.23,
2021-07-17,0.0,38.5,28,949.97,
2021-07-18,0.0,37.5,23,887.31,
2021-07-19,0.0,37.5,21,864.21,
2021-07-20,0.0,36.6,22,853.8,
2021-07-21,0.0,37.4,20,882.33,
2021-07-22,0.0,38.3,18,876.58,
2021-07-23,0.0,34.7,20,892.5,
2021-07-24,0.0,33.0,23,890.23,
2021-07-25,0.0,32.2,27,861.35,
2021-07-26,0.0,32.1,35,869.21,
2021-07-27,0.0,35.0,37,862.93,
2021-07-28,0.0,36.9,28,891.98,
2021-07-29,0.0,37.0,26,873.15,
2021-07-30,0.0,34.8,21,885.43,
2021-07-31,0.0,27.9,38,786.61,DÃ­a de la Pandorga
2021-08-01,0.0,29.0,33,750.17,
2021-08-02,0.0,31.3,25,897.97,
2021-08-03,0.0,33.4,35,894.39,
2021-08-04,0.0,33.3,28,872.94,
2021-08-05,0.0,35.4,22,876.97,
2021-08-06,0.0,34.9,23,853.15,
2021-08-07,0.0,30.3,36,866.96,
2021-08-08,0.0,33.1,29,872.75,
2021-08-09,0.0,34.3,42,873.8,
2021-08-10,0.0,35.9,43,885.28,
2021-08-11,1.4,38.5,38,928.38,
2021-08-12,0.0,38.8,32,860.9,
2021-08-13,0.0,42.6,21,878.48,
2021-08-14,0.0,42.5,18,877.46,
2021-08-15,0.0,41.4,15,886.97,Virgen del Prado
2021-08-16,0.0,38.7,12,842.05,Virgen del Prado
2021-08-17,0.0,34.7,45,917.56,Virgen del Prado
2021-08-18,0.0,35.0,34,876.08,Virgen del Prado
2021-08-19,0.0,34.7,27,881.76,Virgen del Prado
2021-08-20,0.0,34.6,27,902.62,Virgen del Prado
2021-08-21,0.0,35.5,22,874.82,Virgen del Prado
2021-08-22,,36.4,23,928.86,Virgen del Prado
2021-08-23,0.0,37.3,24,918.53,
2021-08-24,18.2,34.9,39,867.02,
2021-08-25,0.2,30.9,58,941.31,
2021-08-26,0.0,33.2,45,872.53,
2021-08-27,0.0,34.3,32,852.63,
2021-08-28,0.0,31.8,36,943.86,
2021-08-29,0.0,31.1,43,850.45,
2021-08-30,0.0,30.6,36,888.68,
2021-08-31,,32.2,43,786.53,
2021-09-01,12.6,30.7,68,819.67,
2021-09-02,,28.7,61,710.75,
2021-09-03,0.0,30.4,47,797.72,
2021-09-04,0.0,31.7,42,797.54,
2021-09-05,0.0,33.3,44,801.24,
2021-09-06,,33.6,36,766.04,
2021-09-07,0.0,34.0,35,766.52,
2021-09-08,0.0,27.0,48,719.72,
2021-09-09,0.0,26.0,55,674.63,
2021-09-10,0.0,28.8,50,685.03,
2021-09-11,0.0,30.4,41,770.35,
2021-09-12,,33.1,35,784.6,
2021-09-13,8.4,27.3,53,722.36,
2021-09-14,23.0,21.2,91,719.6,
2021-09-15,,24.4,72,685.98,
2021-09-16,6.6,26.4,66,717.89,
2021-09-17,0.0,28.1,57,735.68,
2021-09-18,0.0,27.3,48,700.47,
2021-09-19,0.0,25.5,42,727.04,
2021-09-20,0.0,26.9,44,693.94,
2021-09-21,0.0,22.3,45,632.9,
2021-09-22,1.4,22.2,75,730.65,
2021-09-23,6.0,27.2,72,759.25,
2021-09-24,0.2,24.3,76,740.2,
2021-09-25,0.0,24.1,58,628.11,
2021-09-26,0.0,25.6,57,680.54,
2021-09-27,0.0,26.5,56,708.72,
2021-09-28,0.0,27.7,49,702.95,
2021-09-29,0.0,26.9,51,706.05,
2021-09-30,0.0,26.7,54,710.85,
2021-10-01,0.0,27.0,46,700.75,
2021-10-02,0.0,28.3,45,701.85,
2021-10-03,1.6,19.9,73,747.2,
2021-10-04,0.0,20.3,49,669.68,
2021-10-05,0.0,24.1,57,645.46,
